player_id,yr,pa,ab,r,h,_1b,_2b,_3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
abadfe01,2016,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
abadfe01,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abadfe01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreubr01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreujo02,2016,695,624,67,183,125,32,1,25,100,0,2,47,125,7,15,0,9,21
abreujo02,2017,675,621,95,189,107,43,6,33,102,3,0,35,119,6,15,0,4,21
abreujo02,2018,553,499,68,132,73,36,1,22,78,2,0,37,109,7,11,0,6,14
abreujo02,2019,693,634,85,180,108,38,1,33,123,2,2,36,152,4,13,0,10,24
achteaj01,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ackledu01,2016,70,61,6,9,9,0,0,0,4,0,0,8,9,0,0,0,1,0
acunaro01,2018,487,433,78,127,71,26,4,26,64,16,5,45,123,2,6,0,3,4
acunaro01,2019,712,626,127,175,110,22,2,41,101,37,9,76,188,4,9,0,1,8
adamecr01,2016,256,225,25,49,37,7,3,2,17,2,3,24,47,0,4,3,0,5
adamecr01,2017,14,13,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0
adamecr01,2019,24,22,1,7,6,1,0,0,2,0,0,2,8,0,0,0,0,0
adamewi01,2018,323,288,43,80,63,7,0,10,34,6,5,31,95,3,1,1,2,6
adamewi01,2019,584,531,69,135,89,25,1,20,52,4,2,46,153,1,3,3,1,9
adamja01,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamja01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsau01,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsau01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsau02,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsau02,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsau02,2019,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
adamsch01,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsch01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsla01,2017,122,109,19,30,20,4,1,5,20,10,0,10,37,0,1,1,1,3
adamsla01,2018,29,25,10,6,3,1,0,2,6,1,0,4,8,0,0,0,0,1
adamsma01,2016,327,297,37,74,40,18,0,16,54,0,1,25,81,1,2,0,3,5
adamsma01,2017,367,339,46,93,50,22,1,20,65,0,0,23,88,5,1,0,4,5
adamsma01,2018,337,306,42,73,42,10,0,21,57,0,0,27,73,3,4,0,0,6
adamsma01,2019,333,310,42,70,36,14,0,20,56,0,0,20,115,1,2,0,1,7
adducji02,2017,93,83,14,20,11,6,2,1,10,1,1,10,27,0,0,0,0,1
adducji02,2018,185,176,19,47,34,8,2,3,21,1,0,6,45,0,0,2,1,2
adducji02,2019,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
adlemti01,2016,23,21,2,4,2,2,0,0,3,0,0,0,11,0,0,2,0,0
adlemti01,2017,32,29,0,3,2,1,0,0,2,0,0,0,10,0,0,3,0,0
adriaeh01,2016,71,63,3,16,12,2,0,2,7,0,1,2,13,0,2,4,0,0
adriaeh01,2017,186,162,30,43,30,9,2,2,24,8,1,16,25,1,1,1,6,0
adriaeh01,2018,366,335,42,84,54,23,1,6,39,5,1,24,82,2,1,4,2,4
adriaeh01,2019,234,202,34,55,39,8,3,5,22,0,2,20,40,1,6,2,4,2
agrazda01,2019,24,22,0,2,2,0,0,0,2,0,0,0,9,0,0,1,1,0
aguilje01,2016,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
aguilje01,2017,311,279,40,74,41,15,2,16,52,0,0,25,94,1,4,0,3,8
aguilje01,2018,566,492,80,135,75,25,0,35,108,0,0,58,143,3,6,0,10,19
aguilje01,2019,366,314,39,74,50,12,0,12,50,0,0,43,81,0,2,0,7,12
ahmedni01,2016,308,284,26,62,48,9,1,4,20,5,2,15,58,3,4,2,3,9
ahmedni01,2017,178,167,24,42,27,8,1,6,21,3,4,10,39,3,1,0,0,6
ahmedni01,2018,564,516,61,121,67,33,5,16,70,5,4,40,109,2,2,1,5,15
ahmedni01,2019,625,556,79,141,83,33,6,19,82,8,2,52,113,2,4,1,12,15
alanirj01,2019,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
alberan01,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alberan01,2017,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0
alberha01,2016,58,56,2,8,7,1,0,0,5,1,0,0,17,0,0,2,0,1
alberha01,2018,30,27,0,5,3,2,0,0,0,0,1,2,4,0,0,1,0,0
alberha01,2019,550,524,62,160,125,21,2,12,51,4,4,16,50,1,4,3,3,9
alberma01,2016,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
alberma01,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alberma01,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alberma01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albieoz01,2017,244,217,34,62,42,9,5,6,28,8,1,21,36,0,3,1,2,3
albieoz01,2018,684,639,105,167,98,40,5,24,72,14,3,36,116,0,5,1,3,9
albieoz01,2019,702,640,102,189,114,43,8,24,86,15,4,54,112,6,4,0,4,2
albural01,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albural01,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcaljo01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcanar01,2016,19,19,2,4,3,1,0,0,2,3,3,0,8,0,0,0,0,1
alcanar01,2017,108,105,13,18,13,3,1,1,7,2,0,2,38,0,0,1,0,2
alcanra01,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcanra01,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcansa01,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcansa01,2018,13,12,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0
alcansa01,2019,63,58,2,5,4,1,0,0,4,0,0,1,46,0,1,3,0,0
alcanvi01,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcanvi01,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcanvi01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexasc01,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexasc01,2017,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
alexasc01,2018,6,5,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0
alexasc01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexaty01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alfarjo01,2016,17,16,0,2,2,0,0,0,0,0,0,1,8,1,0,0,0,0
alfarjo01,2017,114,107,12,34,23,6,0,5,14,0,0,3,33,1,4,0,0,2
alfarjo01,2018,377,344,35,90,62,16,2,10,37,3,0,18,138,6,14,0,1,2
alfarjo01,2019,465,431,44,113,80,14,1,18,57,4,4,22,154,1,10,0,2,12
alforan01,2017,8,8,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0
alforan01,2018,21,19,3,2,2,0,0,0,1,1,0,2,9,0,0,0,0,0
alforan01,2019,30,28,3,5,4,0,0,1,1,2,0,1,11,0,1,0,0,0
allarko01,2018,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
allarko01,2019,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenau01,2019,71,65,4,14,10,4,0,0,3,0,0,6,21,3,0,0,0,2
allenco01,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenco01,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenco01,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenco01,2019,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
allengr01,2017,39,35,7,8,6,1,0,1,6,1,0,2,8,0,1,0,1,0
allengr01,2018,291,265,36,68,52,11,3,2,20,21,4,14,58,1,7,4,1,5
allengr01,2019,256,231,30,53,37,9,3,4,27,8,2,11,53,1,9,4,1,3
allenlo01,2019,5,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
almonab01,2016,194,182,24,48,26,20,1,1,22,8,0,8,42,1,1,0,3,5
almonab01,2017,195,172,26,40,26,8,3,3,14,2,1,20,46,0,1,1,1,2
almonab01,2018,151,134,15,24,18,1,2,3,9,2,2,15,36,0,0,1,1,6
almonab01,2019,38,31,11,9,4,3,1,1,4,0,0,7,8,0,0,0,0,1
almonmi01,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almonmi01,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almonye01,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almonye01,2019,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
almoral01,2016,117,112,14,31,18,9,1,3,14,0,0,5,20,0,0,0,0,5
almoral01,2017,323,299,39,89,62,18,1,8,46,1,0,19,53,1,0,3,2,8
almoral01,2018,479,444,62,127,97,24,1,5,41,1,3,24,83,1,3,2,6,12
almoral01,2019,363,339,41,80,56,11,1,12,32,2,1,16,62,4,1,5,2,8
alonspe01,2019,693,597,103,155,70,30,2,53,120,1,0,72,183,6,21,0,3,13
alonsyo01,2016,532,482,52,122,81,34,0,7,56,3,1,45,74,1,1,0,4,15
alonsyo01,2017,521,451,72,120,70,22,0,28,67,2,0,68,118,6,2,0,0,9
alonsyo01,2018,574,516,64,129,87,19,0,23,83,0,0,51,123,1,2,0,5,10
alonsyo01,2019,335,292,34,58,35,13,0,10,37,0,1,39,70,3,2,0,2,13
altavda01,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altavda01,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altavda01,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altavda01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altheaa01,2016,227,198,23,39,29,6,0,4,22,7,2,23,69,2,6,0,0,4
altheaa01,2017,412,372,58,101,53,24,5,19,65,5,4,32,104,2,7,0,1,12
altheaa01,2018,285,243,28,44,24,11,1,8,38,3,2,36,91,0,4,0,2,13
altheaa01,2019,66,61,8,5,2,2,0,1,3,0,0,3,25,0,1,0,1,1
altuvjo01,2016,717,640,108,216,145,42,5,24,96,30,10,60,70,11,7,3,7,15
altuvjo01,2017,662,590,112,204,137,39,4,24,81,32,6,58,84,3,9,1,4,19
altuvjo01,2018,599,534,84,169,125,29,2,13,61,17,4,55,79,4,6,3,1,17
altuvjo01,2019,548,500,89,149,88,27,3,31,74,6,5,41,82,0,3,1,3,19
alvarda01,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarda01,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarda02,2016,4,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
alvarhe01,2017,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
alvarjo02,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarjo02,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarjo02,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarjo02,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarjo03,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarjo03,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarjo03,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarpe01,2016,376,337,43,84,42,20,0,22,49,1,0,37,97,1,0,0,2,6
alvarpe01,2017,34,32,4,10,8,1,0,1,4,0,0,2,10,0,0,0,0,0
alvarpe01,2018,127,111,18,20,10,2,0,8,18,0,0,16,36,0,0,0,0,2
alvaryo01,2019,369,313,58,98,45,26,0,27,78,0,0,52,94,4,2,0,2,9
alzolad01,2019,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
amarial01,2016,150,140,9,36,34,2,0,0,11,9,2,8,26,2,0,1,1,5
amarial01,2017,176,168,22,40,27,10,0,3,19,1,0,7,38,0,0,1,0,5
anderbr04,2016,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
anderbr04,2017,8,7,0,1,1,0,0,0,1,0,0,1,3,0,0,0,0,0
anderbr04,2018,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
anderbr04,2019,8,8,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0
anderbr06,2017,95,84,11,22,14,7,1,0,8,0,0,10,28,0,0,0,1,1
anderbr06,2018,670,590,87,161,112,34,4,11,65,2,4,62,129,2,16,0,2,18
